,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,cred_hist_length,Current_loan_status
176,24,200000,2,3,3,0,24000,7.49,10,4.0,1.0
177,26,200000,2,4,1,1,15000,14.79,10,3.0,1.0
178,25,200000,2,2,5,0,15500,11.99,10,2.0,1.0
179,24,200000,0,8,1,0,10000,8.49,4,4.0,1.0
180,24,66000,0,3,1,0,25000,9.91,10,2.0,0.0
181,22,66000,0,6,1,1,25000,13.06,10,3.0,0.0
182,22,200000,2,6,5,0,9000,6.17,2,4.0,1.0
183,144,200000,2,4,1,0,6000,11.86,4,2.0,1.0
184,25,200000,0,5,1,2,18000,16.32,10,3.0,1.0
185,25,200000,2,2,3,0,12000,10.38,10,2.0,1.0
186,25,200000,2,9,0,1,23050,14.35,10,3.0,1.0
187,24,200000,2,8,5,0,20000,10.99,10,3.0,1.0
188,24,60000,0,2,5,3,25000,10.99,10,2.0,0.0
189,21,14400,1,0,4,0,3000,10.99,1,4.0,0.0
190,26,66996,0,10,0,2,25000,15.21,10,2.0,0.0
191,23,67000,0,3,1,0,25000,7.9,10,4.0,0.0
192,24,67000,0,2,3,0,25000,10.99,10,3.0,0.0
193,24,68000,0,5,0,2,25000,14.09,10,3.0,0.0
194,25,69000,0,9,0,2,25000,17.49,10,2.0,0.0
195,25,200000,2,0,1,0,12000,11.48,10,3.0,1.0
196,26,188000,2,10,3,3,20000,17.74,10,2.0,0.0
197,26,200000,2,4,0,1,3000,13.92,6,3.0,1.0
198,25,69996,0,9,1,2,25000,15.21,10,3.0,0.0
199,22,14400,1,2,2,0,4000,10.99,2,3.0,0.0
200,24,70000,0,3,1,0,25000,11.86,10,4.0,0.0
201,24,14400,1,5,0,0,6000,7.49,4,3.0,0.0
202,24,56100,0,7,2,2,25000,16.49,10,4.0,0.0
203,25,66000,0,9,3,2,25000,15.33,10,2.0,0.0
204,26,66000,0,3,4,0,25000,11.58,10,4.0,0.0
205,25,14400,1,7,1,0,5375,5.79,5,2.0,0.0
206,25,72612,0,9,2,1,25000,13.11,10,2.0,0.0
207,23,74000,0,3,2,0,25000,10.36,10,3.0,0.0
208,25,75000,0,9,5,0,25000,10.36,10,2.0,0.0
209,24,192000,0,0,2,1,22000,10.99,10,2.0,1.0
210,21,192000,2,123,3,0,20000,6.54,10,4.0,1.0
211,25,191000,2,1,2,0,10000,12.53,5,4.0,1.0
212,26,190300,2,5,0,0,15000,10.99,10,3.0,1.0
213,22,190000,2,3,3,1,10000,10.99,2,3.0,1.0
214,24,75000,0,4,1,0,25000,10.25,10,4.0,0.0
215,22,71000,0,1,1,2,25000,15.95,10,4.0,0.0
216,26,190000,2,3,3,0,20000,12.18,10,4.0,1.0
217,23,189996,1,0,0,0,24000,11.83,10,3.0,1.0
218,23,78000,0,7,5,1,8000,10.99,3,2.0,0.0
219,23,78000,0,1,3,0,25000,10.62,10,3.0,0.0
220,23,78504,0,7,3,0,25000,10.74,10,3.0,0.0
221,25,186000,1,9,3,0,10000,10.25,5,4.0,1.0
222,24,185000,2,4,1,0,35000,12.42,10,2.0,1.0
223,25,185000,0,6,3,1,15000,15.27,10,2.0,1.0
224,24,62050,0,8,2,2,25000,15.33,10,2.0,0.0
225,23,79416,0,7,3,2,25000,15.21,10,2.0,0.0
226,21,14400,1,4,3,1,6250,14.72,1,2.0,0.0
227,24,79631,0,8,0,2,25000,15.7,10,2.0,0.0
228,24,79632,0,0,1,1,25000,13.35,10,4.0,0.0
229,21,14400,2,0,2,1,1500,10.99,1,4.0,1.0
230,24,80000,0,6,1,0,25000,6.62,10,2.0,0.0
231,26,80000,0,5,5,1,25000,13.61,10,4.0,0.0
232,22,185000,0,4,2,0,25000,11.36,10,2.0,1.0
233,26,185000,1,10,0,0,5000,7.68,6,2.0,1.0
234,24,184992,0,7,4,2,22000,14.46,10,4.0,1.0
235,23,184000,1,5,1,0,2500,11.83,3,2.0,1.0
236,24,172000,2,6,5,1,20000,13.47,10,4.0,0.0
237,24,183000,2,2,2,0,20000,11.49,10,3.0,1.0
238,22,183000,2,3,1,0,1000,10.99,2,2.0,1.0
239,25,182952,2,9,0,0,15000,6.03,10,3.0,1.0
240,23,74004,0,7,5,3,25000,16.35,10,4.0,0.0
241,26,74004,0,10,5,2,25000,10.99,10,4.0,0.0
242,25,81000,0,5,5,0,25000,7.29,10,3.0,0.0
243,23,81600,0,1,2,0,25000,11.36,10,3.0,0.0
244,24,82000,0,8,3,0,25000,10.25,10,2.0,1.0
245,24,83000,0,5,1,0,25000,11.12,10,3.0,1.0
246,24,83000,0,5,0,2,25000,12.92,10,3.0,1.0
247,24,180000,0,8,1,3,18000,18.64,10,4.0,1.0
248,23,180000,2,8,0,0,28000,7.51,10,3.0,1.0
249,23,14400,1,2,4,3,4000,16.7,3,2.0,0.0
250,22,14400,1,0,0,0,2100,11.14,2,4.0,1.0
251,22,84500,0,6,0,4,25000,18.3,10,4.0,1.0
252,24,85000,0,5,2,0,25000,10.62,10,4.0,1.0
253,24,180000,2,7,3,0,14000,11.99,10,2.0,1.0
254,26,180000,2,2,3,0,12000,9.63,10,4.0,1.0
255,25,142800,2,9,2,4,10000,18.25,5,4.0,0.0
256,23,14664,2,0,5,1,6000,10.99,3,4.0,0.0
257,24,87000,0,8,4,2,25000,14.84,10,3.0,1.0
258,24,75000,0,0,3,3,25000,14.7,10,3.0,0.0
259,23,76000,0,7,5,2,25000,16.02,10,4.0,0.0
260,23,66215,0,1,2,2,25000,15.37,10,2.0,0.0
261,25,90000,0,9,2,0,25000,10.99,10,4.0,1.0
262,21,15000,1,0,4,0,6200,7.9,1,2.0,0.0
263,26,180000,1,2,0,0,25000,10.99,10,4.0,1.0
264,24,180000,1,8,1,0,21000,11.48,10,3.0,1.0
265,25,180000,1,9,2,1,20000,14.26,10,4.0,1.0
266,26,180000,1,0,4,0,10000,8.0,6,4.0,1.0
267,25,180000,2,3,3,0,9950,11.26,5,2.0,1.0
268,23,15000,1,7,2,0,4475,10.99,3,4.0,0.0
269,23,78000,0,2,3,2,25000,16.32,10,3.0,0.0
270,25,66300,0,3,2,3,25000,17.93,10,4.0,0.0
271,23,90000,0,0,5,0,25000,11.36,10,3.0,1.0
272,24,79000,0,9,5,2,25000,14.96,10,4.0,0.0
273,24,91800,0,4,0,1,25000,13.43,10,3.0,1.0
274,25,92000,0,6,4,0,25000,12.69,10,3.0,1.0
275,24,92000,0,1,3,1,25000,12.73,10,4.0,1.0
276,23,93600,0,3,3,2,25000,15.21,10,4.0,1.0
277,23,15000,2,1,2,1,1750,12.68,3,3.0,1.0
278,23,70550,0,3,2,4,25000,19.04,10,4.0,0.0
279,25,83800,0,2,5,2,25000,15.95,10,3.0,0.0
280,26,175000,2,3,3,0,2600,8.9,6,4.0,1.0
281,25,175000,2,10,4,0,8000,7.9,5,2.0,1.0
282,22,175000,2,6,1,0,18000,10.99,10,2.0,1.0
283,23,175000,2,8,0,0,21000,11.99,10,3.0,1.0
284,23,15000,1,4,5,1,4000,13.98,3,4.0,0.0
285,23,15000,1,4,3,0,4600,10.99,3,2.0,0.0
286,22,88000,0,6,5,2,25000,15.58,10,2.0,0.0
287,25,74800,0,2,2,0,25000,10.99,10,2.0,0.0
288,25,88000,0,0,3,2,25000,14.96,10,4.0,0.0
289,25,15000,1,2,4,2,1750,15.31,5,4.0,1.0
290,26,88000,0,2,3,2,25000,15.65,10,3.0,0.0
291,25,100000,0,1,3,0,25000,9.33,10,4.0,1.0
292,23,15000,2,0,0,1,3600,13.47,3,4.0,0.0
293,24,102400,0,8,0,0,25000,10.36,10,3.0,1.0
294,24,92000,0,1,4,3,25000,16.77,10,4.0,0.0
295,23,93000,0,0,5,2,25000,14.59,10,2.0,0.0
296,22,175000,0,6,3,1,3500,11.91,2,2.0,1.0
297,23,175000,2,3,1,0,7200,8.38,3,3.0,1.0
298,25,174708,0,9,3,0,9000,10.59,5,3.0,1.0
299,25,174000,2,2,5,1,8800,14.27,5,3.0,1.0
300,26,174000,0,8,5,0,12000,12.53,10,4.0,1.0
301,25,162000,2,5,5,3,25000,16.0,10,3.0,0.0
302,26,173467,2,10,3,0,10000,11.71,6,4.0,1.0
303,21,15000,1,0,4,1,3175,11.54,1,3.0,0.0
304,25,96000,0,2,4,3,25000,15.68,10,4.0,0.0
305,21,15120,2,0,1,0,1500,10.59,1,2.0,1.0
306,24,97908,0,8,4,2,25000,12.61,10,2.0,0.0
307,26,110000,0,3,0,1,25000,10.99,10,2.0,1.0
308,23,15204,2,7,0,0,2800,8.49,3,3.0,0.0
309,25,159600,0,0,0,2,30000,17.27,10,4.0,0.0
310,24,171500,0,6,5,0,18000,8.9,10,4.0,1.0
311,25,170004,2,3,2,0,10000,11.11,5,4.0,1.0
312,24,158004,0,0,4,2,25000,14.59,10,2.0,0.0
313,26,170000,0,0,3,0,13000,12.42,10,3.0,1.0
314,24,83300,0,0,2,2,25000,10.99,10,2.0,0.0
315,24,110000,0,7,4,2,25000,15.7,10,2.0,1.0
316,22,15360,1,7,4,0,2500,12.53,2,3.0,0.0
317,25,134300,0,3,2,2,5000,16.49,5,2.0,0.0
318,25,170000,2,2,1,0,20000,7.49,10,2.0,1.0
319,22,100580,0,6,5,2,25000,14.96,10,2.0,0.0
320,25,113000,0,7,2,1,25000,12.73,10,4.0,1.0
321,24,120000,0,8,1,0,25000,10.65,10,4.0,1.0
322,25,120000,0,6,2,0,1000000,10.74,10,2.0,0.0
324,23,120000,0,7,1,0,25000,9.99,10,2.0,1.0
326,24,91800,0,5,2,2,25000,15.33,10,2.0,0.0
327,21,15600,1,5,3,0,1000,7.29,1,4.0,1.0
328,26,108000,0,2,0,2,25000,15.05,10,3.0,0.0
329,26,129996,0,6,0,0,25000,10.75,10,3.0,1.0
330,23,130000,0,4,1,2,25000,16.02,10,2.0,1.0
331,23,130000,0,7,3,0,25000,11.49,10,4.0,1.0
332,25,170000,1,4,1,0,20000,12.53,10,4.0,1.0
333,26,170000,2,0,3,1,12000,13.57,10,2.0,1.0
334,22,169000,0,1,0,0,14000,11.14,10,3.0,1.0
335,26,168750,0,10,2,1,24250,12.87,10,3.0,1.0
336,23,168600,0,3,1,0,20000,11.58,10,3.0,1.0
337,24,168288,0,5,4,0,1800,11.12,4,3.0,1.0
338,25,168000,2,2,0,0,35000,10.65,10,2.0,1.0
339,24,133300,0,6,5,0,25000,10.37,10,2.0,1.0
340,24,15600,1,5,4,0,3300,6.39,4,4.0,0.0
341,24,134000,0,8,0,2,25000,16.07,10,3.0,1.0
342,25,134000,0,7,2,0,25000,10.62,10,2.0,1.0
343,25,15600,1,0,3,4,3200,18.09,5,2.0,0.0
344,25,135000,0,5,1,0,25000,11.36,10,4.0,1.0
345,26,135660,0,10,5,0,25000,12.53,10,4.0,1.0
346,25,145000,0,0,1,0,25000,9.99,10,4.0,1.0
347,23,150000,0,4,1,0,25000,10.36,10,3.0,1.0
348,23,165000,2,3,1,0,9600,5.99,3,3.0,1.0
349,22,153000,2,5,5,2,24000,15.62,10,2.0,0.0
350,24,165000,2,5,0,0,20000,10.37,10,4.0,1.0
351,25,165000,2,0,4,4,25000,19.74,10,4.0,1.0
352,21,165000,2,5,1,0,20000,6.91,10,4.0,1.0
353,23,16000,1,7,2,0,6000,7.9,3,2.0,0.0
354,23,16000,2,3,5,1,2275,13.06,3,4.0,1.0
355,23,16000,1,7,0,0,2000,6.39,3,3.0,1.0
356,23,148000,0,1,5,3,25000,14.93,10,3.0,0.0
357,23,16000,2,1,2,1,5600,12.84,3,4.0,0.0
358,24,16020,1,3,3,3,3625,17.14,4,2.0,0.0
359,22,16094,2,2,3,0,5500,7.14,2,3.0,0.0
360,25,175000,0,2,0,0,25000,8.9,10,2.0,1.0
361,22,16200,1,6,0,0,2000,12.42,2,3.0,1.0
362,24,185000,0,7,4,1,25000,12.68,10,2.0,1.0
363,25,162000,0,9,0,1,25000,11.03,10,2.0,1.0
364,26,161000,0,10,3,0,30000,7.9,10,4.0,1.0
365,22,160000,2,0,2,0,35000,10.65,10,4.0,1.0
366,25,225000,0,5,3,0,25000,11.86,10,4.0,1.0
367,25,16400,1,1,0,0,5000,8.94,5,4.0,0.0
368,23,16500,1,6,3,0,4375,9.63,3,4.0,0.0
369,25,49500,0,6,0,1,24750,14.22,10,3.0,0.0
370,23,60000,0,4,5,0,24750,9.33,10,3.0,0.0
371,24,84200,0,8,2,1,24500,13.85,10,4.0,1.0
372,22,16800,2,5,1,0,2000,10.65,2,2.0,1.0
373,24,92000,0,8,2,0,24500,11.46,10,4.0,1.0
374,23,160000,2,5,0,0,35000,7.66,10,2.0,1.0
375,24,160000,2,9,3,3,12000,16.77,10,4.0,1.0
376,25,160000,2,1,0,0,12000,9.63,10,4.0,1.0
377,26,160000,0,6,0,1,25000,12.23,10,4.0,1.0
378,25,125800,2,0,2,2,10000,14.09,5,4.0,0.0
379,25,54000,0,2,0,1,24250,13.98,10,4.0,0.0
380,23,62500,0,1,1,0,24250,10.62,10,4.0,0.0
381,24,16800,2,4,5,0,3900,10.99,4,3.0,0.0
382,25,68400,0,9,0,3,24250,17.56,10,4.0,0.0
383,26,56045,0,1,2,2,24250,14.96,10,2.0,0.0
384,22,74000,0,7,5,2,24250,15.65,10,2.0,0.0
385,24,65453,0,9,2,2,24250,15.7,10,2.0,0.0
386,24,89908,0,1,3,0,24250,12.53,10,3.0,1.0
387,26,78000,0,0,4,3,24250,17.56,10,3.0,0.0
388,23,100000,0,0,0,1,24250,12.87,10,2.0,1.0
389,23,103000,0,6,0,2,24250,15.7,10,2.0,1.0
390,25,160000,2,2,1,0,9000,10.99,5,3.0,1.0
391,25,160000,1,5,3,0,15000,11.14,10,4.0,1.0
392,24,160000,2,3,3,2,20000,16.0,10,3.0,1.0
393,23,160000,2,2,1,2,25000,15.65,10,2.0,1.0
394,26,160000,2,0,5,1,13750,10.99,10,4.0,1.0
395,21,160000,2,3,3,2,15250,15.31,10,4.0,1.0
396,25,160000,2,3,3,1,20000,13.47,10,2.0,1.0
397,22,16800,2,0,4,1,4750,13.85,2,2.0,0.0
398,25,111996,0,9,0,2,24250,10.99,10,3.0,1.0
399,21,16800,2,0,3,0,6000,10.39,1,4.0,0.0
400,25,115200,0,0,4,0,24250,11.36,10,2.0,1.0
401,23,144000,0,0,1,0,24250,11.83,10,3.0,1.0
402,23,287000,0,3,1,0,24250,12.53,10,3.0,1.0
403,22,108000,0,1,4,2,24150,14.96,10,3.0,0.0
404,22,43000,0,7,5,1,24000,13.85,10,3.0,0.0
405,23,47004,0,1,3,1,24000,11.58,10,4.0,0.0
406,24,48000,0,4,3,2,24000,16.29,10,2.0,0.0
407,26,48000,0,4,2,1,24000,10.99,10,3.0,0.0
408,21,44964,0,2,1,2,24000,16.29,10,2.0,0.0
409,25,52000,0,4,0,0,24000,10.74,10,2.0,0.0
410,22,17352,2,4,1,1,2250,15.27,2,3.0,1.0
411,24,47000,0,3,0,4,24000,17.8,10,2.0,0.0
412,22,17400,2,6,3,0,1000,11.36,2,2.0,1.0
413,22,49000,0,2,2,3,24000,17.56,10,4.0,0.0
414,26,60000,0,0,0,0,24000,7.9,10,4.0,0.0
415,25,60000,0,3,0,0,24000,10.99,10,4.0,0.0
416,22,60000,0,0,0,0,24000,7.29,10,3.0,0.0
417,21,60000,0,5,2,0,24000,10.75,10,2.0,0.0
418,26,62004,0,9,5,0,24000,7.9,10,3.0,0.0
419,22,62400,0,3,1,2,24000,14.84,10,2.0,0.0
420,26,65000,0,10,5,0,24000,10.99,10,2.0,0.0
421,22,17760,2,6,1,1,4975,10.99,2,3.0,0.0
422,23,59000,0,5,5,3,24000,19.69,10,2.0,0.0
423,23,66000,0,6,3,0,24000,10.99,10,4.0,0.0
424,24,60000,0,0,3,2,24000,14.96,10,4.0,0.0
425,25,66143,0,9,1,0,24000,6.99,10,3.0,0.0
426,22,62250,0,3,0,3,24000,16.45,10,4.0,0.0
427,24,70000,0,8,1,0,24000,10.99,10,4.0,0.0
428,23,74000,0,7,5,0,24000,10.99,10,2.0,0.0
429,22,18000,1,3,0,0,3000,7.9,2,4.0,0.0
430,22,75000,0,6,1,0,24000,12.69,10,4.0,0.0
431,24,75000,0,9,2,0,24000,10.37,10,3.0,0.0
432,24,75000,0,7,4,1,24000,10.99,10,3.0,0.0
433,26,69000,0,0,5,4,24000,15.83,10,3.0,0.0
434,23,78000,0,4,0,1,24000,13.92,10,3.0,0.0
